index,prediction,label
0,2,2
1,2,2
2,1,1
3,1,1
4,1,1
5,2,2
6,2,2
7,0,0
8,2,2
9,2,2
10,0,0
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,2,1
17,2,2
18,0,0
19,2,1
20,1,0
21,0,0
22,1,1
23,0,0
24,1,1
25,2,2
26,0,0
27,1,1
28,2,2
29,1,1
30,0,0
31,1,1
32,0,0
33,1,1
34,0,0
35,1,1
36,2,2
37,1,1
38,0,0
39,2,1
40,2,2
41,0,0
42,1,1
43,2,2
44,0,0
45,1,0
46,1,1
47,2,2
48,0,0
49,0,0
50,1,1
51,2,2
52,0,1
53,2,1
54,1,1
55,0,0
56,0,0
57,0,0
58,2,2
59,0,0
60,2,2
61,1,1
62,2,2
63,2,2
64,1,1
65,0,0
66,0,0
67,2,2
68,1,0
69,2,2
70,2,2
71,1,0
72,0,0
73,0,0
74,1,1
75,1,1
76,1,1
77,1,1
78,0,0
79,2,2
80,2,2
81,0,2
82,2,2
83,2,2
84,2,2
85,0,0
86,0,0
87,2,2
88,0,0
89,2,2
90,2,2
91,1,1
92,0,0
93,2,2
94,0,0
95,0,0
96,0,0
97,2,2
98,0,0
99,0,2
100,1,1
101,1,1
102,1,1
103,1,1
104,2,2
105,1,1
106,0,0
107,1,1
108,0,0
109,2,2
110,1,1
111,2,2
112,2,2
113,0,0
114,2,2
115,0,0
116,2,1
117,2,2
118,1,1
119,2,2
120,2,2
121,1,1
122,0,0
123,2,1
124,1,1
125,0,0
126,2,2
127,0,0
128,2,2
129,1,1
130,1,1
131,0,0
132,1,1
133,1,1
134,0,0
135,2,2
136,0,0
137,1,1
138,1,1
139,2,2
140,1,0
141,2,2
142,0,0
143,0,0
144,2,2
145,0,0
146,0,0
147,1,1
148,2,2
149,0,0
150,2,2
151,1,1
152,0,0
153,1,1
154,0,0
155,1,1
156,2,2
157,0,0
158,2,2
159,2,2
160,1,1
161,2,2
162,2,2
163,2,2
164,1,1
165,2,2
166,1,1
167,0,0
168,0,0
169,1,1
170,0,0
171,0,0
172,1,1
173,1,1
174,2,2
175,0,0
176,1,1
177,1,1
178,1,1
179,1,1
180,0,0
181,2,2
182,1,1
183,2,2
184,2,2
185,1,1
186,2,2
187,1,1
188,1,1
189,2,2
190,1,1
191,1,1
192,1,1
193,1,1
194,2,2
195,2,2
196,2,2
197,2,2
198,0,0
199,1,1
200,0,0
201,1,1
202,2,2
203,0,0
204,0,0
205,2,1
206,0,0
207,0,0
208,2,2
209,1,1
210,0,0
211,1,1
212,2,2
213,2,2
214,2,2
215,1,1
216,0,0
217,2,2
218,0,0
219,1,1
220,0,0
221,1,1
222,1,1
223,0,0
224,1,1
225,2,2
226,1,1
227,2,1
228,0,0
229,0,0
230,2,2
231,2,2
232,0,0
233,1,1
234,0,0
235,0,0
236,1,1
237,2,2
238,0,0
239,2,2
240,1,1
241,2,2
242,0,0
243,1,1
244,0,1
245,0,0
246,2,2
247,1,1
248,2,2
249,0,0
250,0,0
251,0,0
252,0,0
253,2,2
254,2,2
255,0,0
256,2,2
257,2,2
258,1,1
259,0,0
260,0,0
261,0,0
262,2,2
263,1,1
264,0,0
265,2,2
266,2,2
267,2,1
268,1,1
269,0,0
270,1,2
271,0,0
272,1,1
273,2,2
274,0,0
275,2,2
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,2,2
288,1,1
289,2,2
290,2,2
291,1,1
292,0,0
293,0,0
294,0,0
295,1,1
296,2,2
297,0,0
298,2,2
299,2,2
300,0,0
301,0,0
302,0,0
303,2,1
304,2,2
305,2,2
306,2,2
307,1,1
308,1,1
309,1,1
310,0,0
311,0,0
